kroA150,26512,5106.1,26676,8878.6,X,X,26722,5499.1,26793,9543.5,X,X,28028,5720.1,27266,8169.0,X,X
ch150,6475,6447.9,6498,11148.5,6459,25306.1,6610,4060.2,6573,10806.8,6536,20464.1,6775,5328.1,6739,9777.1,6704,20467.4
kroB150,26224,3158.7,26104,5883.6,X,X,26544,3478.8,26392,6821.9,X,X,26720,3723.4,27049,8989.8,X,X
pr152,73887,17997.9,74624,32792.0,X,X,74632,17108.9,75172,34013.2,X,X,78816,21657.9,X,X,X,X
u159,42198,3198.9,X,X,X,X,42171,3090.8,X,X,X,X,43042,4419.0,X,X,X,X
si175,21589,9082.5,X,X,X,X,22035,8235.5,X,X,X,X,22975,9034.2,X,X,X,X
brg180,1953,21381.6,1950,35225.9,1950,68475.0,1979,16828.7,1950,26658.7,1960,44845.3,2000,7713.9,1970,14307.0,1960,30431.1
rat195,2276,22361.5,X,X,X,X,2296,14514.3,X,X,X,X,2355,12398.7,X,X,X,X
d198,15783,63903.7,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
kroB200,29543,13685.8,X,X,X,X,29638,16613.8,X,X,X,X,30550,18660.4,X,X,X,X
kroA200,29575,15333.6,X,X,X,X,29796,14447.5,X,X,X,X,30405,14717.6,X,X,X,X
